date,title,duration,views,likes,comments
2022-07-22 17:58:10+00:00,Can We Beat John Daly Jr & His Teammate In A Match?,1801,892611,17144,1117
2022-04-08 00:09:51+00:00,We Played Golf On a $30 Budget,1382,413989,9085,339
2022-06-07 22:57:33+00:00,We Challenged Top D1 Commits To A Golf Match… Who Wins?,1441,813332,17575,2855
2023-01-02 20:58:34+00:00,I Challenged a Golfer On The Range To a Match,1734,654660,14149,1701
2022-09-10 16:21:00+00:00,I love golf,1263,471624,14112,640
2022-07-04 00:40:34+00:00,Can Bob Does Sports Beat Us If They Play The Front Tees?,2340,1156184,39494,1665
2022-10-24 01:31:12+00:00,Knockout Golf Challenge | Pro Golfer Edition,1671,365866,14688,806
2022-04-14 18:36:52+00:00,I Attempted To Play The World’s Fastest Round of Golf,1046,296797,10324,598
2022-09-21 20:50:24+00:00,We Have a Huge Announcement…Our Biggest Challenge Yet,2018,641272,22261,3411
2022-05-25 04:14:48+00:00,We Played The Most Famous Golf Holes In The World... 9 Hole Texas 2v2 Match,2338,622218,10116,556
2022-07-25 16:42:37+00:00,What Can Two Scratch Golfers Shoot On a HARD PGA Tour Course?,2135,790067,26148,3566
2022-08-16 20:19:44+00:00,Another Hole Out On GM GOLF!,1981,723957,17605,941
2022-11-26 21:07:43+00:00,The Garage Sale Golf Challenge | GM GOLF,1876,417203,10814,959
2022-07-01 03:00:14+00:00,Can Two D1 Golfers Beat Us In An 18 Hole Match?,1766,292883,8904,561
2022-03-23 00:47:51+00:00,4 Man Shamble Golf Tournament | Holes 7-12,1314,238683,7620,358
2023-03-19 23:03:43+00:00,The Most Beautiful Course In The World | Garrett VS Kwon #3,1978,317092,10465,836
2022-06-01 03:38:54+00:00,"Last Golfer To Make a Bogey Wins $1,000",1475,497293,11400,481
2022-08-10 23:50:38+00:00,We Played Tiger Wood's Golf Course At Pebble Beach!,1915,816940,21799,1059
2021-12-19 03:21:12+00:00,The Good Good Shot Tracers Are Back!! | Saturday Match #24 | GM GOLF,1125,120307,4199,372
2022-05-20 21:50:21+00:00,Scratch Golfers Give Two Mid Handicap Golfers 9 Strokes In 9 Holes… Who Wins?,2304,652454,12322,575
2022-07-20 02:55:01+00:00,We Challenged John Daly Jr & His Teammate To An 18 Hole Match,1866,2234375,44380,1467
2022-08-13 16:17:28+00:00,GM GOLF VS Two D1 Golfers. Who Wins?,2370,867101,16537,861
2021-07-01 23:42:26+00:00,Crazy 2v2v2 Alternate Shot At The Nicest Golf Course I've Played! | The Tivo Classic Round 2,1431,268813,6957,367
2022-12-24 16:12:44+00:00,He never plays golf and did this…,1841,272607,10228,1023
2020-12-17 19:59:39+00:00,"GM GOLF | EPIC 3 Man Scramble | How Low Can We Go?!? | Kyle Berkshire, Garrett Clark & Micah Morris",1131,154642,13107,499
2023-03-23 20:41:46+00:00,I Challenged a High School Golf Team to A Match...,1566,179296,6127,386
2022-04-19 17:21:45+00:00,"We Restarted Our Golf Careers On a $1,000 Budget!",2098,1547845,31412,1663
2022-09-05 17:53:38+00:00,Golfing With a Walmart Starter Set Of Clubs,1334,774189,28627,1030
2022-04-02 01:23:43+00:00,I Made a Hole In 1 The Very First Time I Played Golf,800,149751,4593,313
2022-09-17 23:41:57+00:00,Can We Beat Top D1 Golfers In An 18 Hole Match?,2114,636532,16638,892
2023-03-12 17:50:24+00:00,My Hardest Challenge Yet | Kwon VS Garrett Match #1,2026,353721,14627,894
2022-12-17 22:01:37+00:00,I Created A Golf Course In My Backyard,1096,361499,10508,444
2023-03-07 19:03:17+00:00,I Challenged The Newest Good Good Athlete To a Match,1911,319520,9427,738
2022-10-15 20:48:51+00:00,Can We Beat Two Pro Golfers? | GM GOLF,2210,510113,16909,626
2022-08-17 19:30:11+00:00,The Match | GM GOLF x NELK x Bob Does Sports,2523,1358923,35706,2276
2022-12-28 19:04:53+00:00,9 Hole 2v2 Scramble Match With Faze Member,2350,258746,7331,764
2023-03-17 21:17:01+00:00,The Best Round Of Golf I’ve Ever Played?!,1703,282621,9009,641
2022-09-28 22:46:09+00:00,The Most Birdies We've Ever Made...,1235,453346,15301,875
2022-11-19 18:30:33+00:00,The Greatest Golf Match I’ve Ever Played,3286,468083,14389,807
2022-10-31 15:00:17+00:00,I’m Attempting To Break 65 | Episode 1 | GM GOLF,2861,758608,21613,1957
2022-12-31 17:02:31+00:00,It’s Not About How You Start It’s How You Finish | Break 65 Ep. 3,2580,472264,19831,910
2023-02-08 01:56:43+00:00,This Golf Match Didn’t Go As Planned…,2159,266764,8825,690
2023-03-15 00:52:05+00:00,I Never Thought I Would Play This Golf Match…,1836,259755,9009,854
2022-10-13 15:05:46+00:00,We Challenged a Kornferry Tour Winner To a 2v2 Match,2400,422749,10398,643
2023-03-09 20:52:45+00:00,Am I Good Enough To Be a Pro Golfer?,1323,316069,7384,592
2022-09-08 19:00:14+00:00,Playing a Golf Match - $30 Clubs VS $3000 Clubs,2355,1029413,25510,1281
2022-12-11 02:04:46+00:00,The Highest Score I’ve Ever Made Playing Golf | Break 65 #2,2587,420289,12521,1224
2023-01-11 21:21:44+00:00,I Challenged a Top 10 Jr. Golfer In The World To a Match,2161,378273,8160,712
2023-03-22 16:34:29+00:00,I Tried To Break 65 And This Happened…,2054,251626,6962,614
2022-10-04 17:34:41+00:00,This Is The Best PineHurst Course Yet!,1565,408242,11611,809
2022-11-12 17:07:43+00:00,We Challenged Former World #1 Golfer To An 18 Hole Match,4213,940041,17462,1198
2018-11-12 03:57:58+00:00,Teeing It Up High On Every Shot (Challenge) - GM GOLF,1228,208501,2797,587
2023-02-22 02:28:59+00:00,Break 65 Ep. 4 Featuring Pro Golfers,4202,543002,11184,1010
2022-06-28 17:00:09+00:00,The 2nd Greatest Golf Shot in YouTube History.,2284,1036617,64683,2193
2022-09-01 21:34:36+00:00,We Challenged A PGA Tour Pro To An 18 Hole Match | 2v2 Scramble,4617,1410732,32611,2542
2019-12-25 01:13:42+00:00,Crazy 2v2 Mini Golf Challenge (A lot of Hole In Ones)  | GM GOLF,783,174389,3326,157
