date,title,duration,views,likes,comments
2023-01-18 03:42:13+00:00,Knockout Golf Challenge W/ Our New Good Good Athlete,1616,675685,18223,993
2022-09-30 00:21:24+00:00,Random Golf Club Challenge | Good Good Cup Wheel Of Not Ideal,2279,1028234,27319,1951
2023-02-11 15:57:52+00:00,We Flew Around The World To Play In This Pro-Am,2350,664234,19640,1458
2022-06-13 14:26:49+00:00,We Entered A 2 Man Scramble Tournament | The Good Good Movie,6927,3294222,65967,4149
2023-02-06 04:17:17+00:00,Good Good Double Elimination KnockOut Golf Challenge!,1825,556026,24477,1377
2023-03-01 23:30:15+00:00,The Good Good Dubai Major | Round 2,2221,587268,14474,2437
2023-02-17 03:01:18+00:00,CRAZY Dubai KnockOut Golf Challenge | Good Good,1825,545107,22487,1704
2023-03-11 23:30:05+00:00,The Ending Of This Match Was Unbelievable…,2848,495618,14399,1380
2023-02-14 02:49:51+00:00,We Won A Pro-Am In Dubai | Good Good,2129,686753,21238,1766
2022-08-26 02:40:16+00:00,We Had A Match W/ Rick Shiels,2671,1203034,37248,2258
2022-09-23 03:21:38+00:00,Our First 3v3 Golf Match In The Good Good Cup...,1904,910986,25555,2580
2022-07-13 05:01:12+00:00,Outdrive Us Win $100,2096,719170,20028,1406
2023-01-09 03:01:29+00:00,We Played 13 Pro Golfers In A Match | Part 2,1977,550501,17348,1317
2022-11-11 03:03:27+00:00,7 Man Knockout Golf Challenge W/ A Tour Winner,1791,668764,18614,1153
2022-10-07 00:32:17+00:00,The Craziest Finalè In Good Good History,2753,1165582,42956,3591
2022-11-26 02:34:35+00:00,4v4 Match W/ Mystery Good Good Member?!,2183,635036,16481,1116
2022-12-30 19:29:59+00:00,The Most Frustrating Golf Challenge In The World,2198,638060,20816,2418
2023-02-27 23:30:15+00:00,The Good Good Dubai Major | Round 1,2656,734838,18134,2630
2022-11-30 04:55:32+00:00,You'll Never See A Bracket Challenge Like This Again...,1877,601825,16522,1742
2023-01-05 23:02:40+00:00,We Played 13 Pro Golfers In A Match,2281,807365,40300,2523
2022-11-23 03:00:14+00:00,REVERSE Battle Golf Challenge! | Good Good,2596,645967,16566,891
2023-01-23 18:42:19+00:00,Good Good Battle Golf… But With a Twist,2504,663629,29583,1526
2023-01-11 00:23:48+00:00,The 13 Pro Golfer Match Finalé,1986,560038,17493,1332
2023-03-08 23:30:00+00:00,Our Wildest Lightning Knockout Golf Challenge Yet..,2593,534997,15967,1630
2022-11-16 04:35:29+00:00,The Best VS Worst Golfers In Good Good,3043,829021,19519,1196
2022-11-02 14:00:18+00:00,Can 2 Pro Golfers Beat Good Good?,3007,983396,23134,2060
2022-10-10 04:02:00+00:00,The Most Valuable Good Good Cup Challenge Yet,3668,1108247,28453,1288
2023-01-25 19:00:01+00:00,It Finally Happened... Bob Does Sports VS Good Good,2803,960026,88937,2955
2023-03-06 23:30:05+00:00,Good Good vs D1 College Golf Team,2608,666911,19980,1619
2023-01-13 16:07:48+00:00,We Had A Golf Match W/ Xander Schauffele,3561,978433,21877,2106
2022-10-20 14:00:03+00:00,Double Elimination KnockOut Golf Challenge | Good Good Cup,3775,1060765,25689,2534
2023-01-27 23:32:01+00:00,The Best Golf We’ve Ever Played!! | 18 Hole 4v4 Part 1,2983,845971,20373,3179
2022-07-01 14:00:19+00:00,The Craziest Night In Good Good History...,2077,1194502,38248,2697
2022-10-23 01:15:31+00:00,The Final Challenge Before The Good Good Cup Major,1961,682791,21044,1465
2023-01-30 15:42:26+00:00,He Did It Again…,2981,1066732,32327,2365
2022-09-03 21:14:43+00:00,Our Final Golf Match In The UK | Good Good,2643,923543,28796,1661
2023-01-21 15:00:02+00:00,The Match | Rickie Fowler x Good Good,4846,1841429,34757,2601
2022-12-23 22:43:27+00:00,"We Restarted Our Golf Careers On a $1,500 Budget",3597,880052,19692,1508
2022-05-25 14:00:24+00:00,We Played A 2v2v2 Scramble On A $400 Budget | Pro Shop Golf Challenge,2982,1300524,23318,1939
2022-10-04 23:47:06+00:00,The Craziest Good Good Cup Moment Yet.,2564,1018511,26822,2509
2022-05-25 14:00:24+00:00,We Played A 2v2v2 Scramble On A $400 Budget | Pro Shop Golf Challenge,2982,1300524,23318,1939
2022-10-04 23:47:06+00:00,The Craziest Good Good Cup Moment Yet.,2564,1018511,26822,2509
2023-02-24 01:10:46+00:00,឴,2665,589479,15450,1707
2023-02-08 17:21:05+00:00,The Good Good Dubai Mini Major,3512,876502,24493,2141
2023-02-20 05:12:55+00:00,Golfing with the boys part 1,3189,682941,15928,1730
2022-12-29 01:22:34+00:00,We Played Warzone On a Golf Course,3895,776513,17129,1739
2022-11-09 00:11:22+00:00,Our Least Favorite Good Good Challenge,2214,816049,22104,1331
2022-07-29 15:03:04+00:00,Epic 3v3 Scramble @ Where Tiger Won 5 Times | The Good Good Movie,5626,2284220,36712,2547
2021-08-06 00:56:56+00:00,King Of The Golf Hole Challenge | Good Good,829,406752,11557,447
2022-12-19 04:59:57+00:00,Another Good Good Hole Out.,2523,642325,26850,1043
2022-12-21 16:41:15+00:00,3v3 18 Hole Match W/ NCAA Champion Golfer!,5533,785234,13656,1385
2022-12-03 18:15:42+00:00,Goodbye Grant & Micah,1832,1399645,33427,10850
2021-05-09 18:51:49+00:00,Knockout Golf Challenge at Amen Corner!,735,263792,9561,579
2022-12-02 22:52:49+00:00,Good Good Reveals Never Before Played Golfers Paradise,3405,529380,11331,1294
2022-12-07 20:59:14+00:00,We Played John Daly Jr. In A 18 Hole Match,5280,1232607,25404,2843
2021-02-19 02:40:10+00:00,Epic 6 Man Alt Shot Dream Team Challenge | Good Good,838,426686,14487,783
2020-12-22 23:00:14+00:00,Good Good Plays 5 Man Alternate Shot,874,175685,17335,4335
2022-04-22 17:48:55+00:00,We Made Another Hole in One.,2269,2182352,58789,4377
2022-10-25 23:04:53+00:00,The Good Good Cup Major,9121,2973999,59447,5348
2021-12-03 02:21:39+00:00,Good Good Enters 4 Man Scramble Golf Tournament | Team Twigs Vs. Stumps | Part 2,1542,483919,11361,651
2021-01-03 19:50:05+00:00,Epic 1 Golfer Per Hole Challenge | GOOD GOOD,982,293429,8946,388
2022-08-09 22:56:55+00:00,The Good Good Major UK,11336,4912654,115867,10202
2021-02-14 18:20:48+00:00,Good Good Plays 3v3 18 Hole Match | THE FINAL HOLES!!!,1601,437768,10116,821
2021-02-24 02:51:07+00:00,Our First 2v2v2 Golf Scramble | Good Good,1392,435416,10191,732
2021-11-12 00:21:15+00:00,First Ever 3v3 Alt Shot | Good Good,1089,463477,13256,1012
2021-07-14 01:14:02+00:00,1v1 Bracket Elimination Golf Challenge #2 | Good Good,1577,561763,16242,1248
2021-03-12 02:52:48+00:00,Good Good Enters 4 Man Scramble Tournament Again! - Part 2/3,1047,559779,12481,623
2021-05-05 00:24:05+00:00,The Rematch | Tig & Bubbie VS Garrett & Matt,1587,462905,11719,941
2021-04-04 18:01:19+00:00,Epic 3v1 Scramble Against PGA Tour Winner Joel Dahmen | Part 2,843,247376,6834,255
2020-10-07 01:34:10+00:00,INSANE 6 Man Up & Down Horse Challenge | Good Good,1078,497638,11907,386
2021-01-13 01:55:07+00:00,Knockout Golf Challenge | Closest to The Pin,594,201661,7800,327
2022-01-28 02:15:33+00:00,Stumps Vs Twigs Knock Out Golf Challenge | Good Good,1218,440331,15628,963
2021-08-10 23:14:56+00:00,1v1 Bracket Elimination Golf Challenge #3 | Good Good,1548,460925,14491,807
2021-02-07 20:46:08+00:00,"CRAZY $1,000 Knockout Golf Challenge!",1754,647375,12275,882
2021-02-10 05:09:16+00:00,Good Good Plays 3v3 18 Hole Match | Part 1/3,1916,702387,13856,1043
2021-06-01 00:30:11+00:00,Good Good Knockout Golf Challenge | The Craziest Finish Yet...,1268,372088,13416,1012
2021-07-21 01:30:32+00:00,3v3 Hole In One Golf Challenge | Good Good,606,298061,9551,721
2022-02-11 06:05:08+00:00,The REMATCH | Good Good 3v3 Alternate Shot,1245,493507,14626,835
2021-11-19 04:25:14+00:00,It Finally Happened... | 1v1 Bracket Elimination Golf Challenge #8 | Good Good,1276,494402,19623,979
2021-03-10 02:20:33+00:00,Good Good Enters 4 Man Scramble Tournament Again! - Part 1/3,1090,789855,22375,1043
2021-12-05 19:39:25+00:00,Good Good Enters 4 Man Scramble Golf Tournament | Team Twigs Vs. Stumps | Part 3,1660,470722,12705,535
2021-08-20 00:01:11+00:00,1v1 Bracket Elimination Golf Challenge #4 | Good Good,1054,450488,18313,780
2021-09-15 02:19:04+00:00,THE REMATCH | 3v3 Ryder Cup Golf Challenge | Good Good,1664,581257,19063,982
2021-10-10 16:45:00+00:00,Our First Ever BLIND 3v3 Match | Good Good,1159,545986,16188,951
2021-02-12 01:21:51+00:00,Good Good Plays 3v3 18 Hole Match | Part 2/3,1698,501967,8393,846
2021-10-06 01:28:12+00:00,First Ever In Good Good History | 1v1 Bracket Elimination Golf Challenge #7,1321,472249,17732,926
2022-02-21 03:49:55+00:00,Can The Twigs Steal Back The Lead?! | 3v3 18 Hole Scramble | Part 2,2089,612736,24294,1287
2022-01-03 00:57:55+00:00,We Created 2 Perfect Golfers & Had a Match | Stumps Vs. Twigs,1496,615034,17830,1273
2022-01-17 00:35:07+00:00,Can We Set Our 6 Man Scramble Record?!? | Good Good,945,471253,25676,627
2021-07-18 19:15:00+00:00,3v3 Ryder Cup Golf Challenge | Good Good,1279,612943,17896,977
2020-11-25 00:45:00+00:00,Good Good Enters 4 Man Scramble Tournament | Part 2/3,1450,618892,17157,706
2021-01-31 20:41:33+00:00,Epic Giant Golf Pong Challenge | Good Good,999,382957,10157,370
2021-09-12 17:39:19+00:00,1v1 Bracket Elimination Golf Challenge #6 | Good Good,1487,485218,26773,845
2020-11-22 18:00:13+00:00,Good Good Enters 4 Man Scramble Tournament | Part 1/3,1372,854859,22286,749
2021-06-23 01:29:06+00:00,How Low Can We Go? |  King Of The Golf Hole Challenge | Good Good,987,273531,8186,492
2021-12-01 02:20:02+00:00,Good Good Enters 4 Man Scramble Golf Tournament | Team Twigs Vs. Stumps | Part 1,1588,583351,23463,1000
2020-11-29 18:00:01+00:00,Good Good Enters 4 Man Scramble Tournament | Part 3/3,1244,546429,18545,796
2021-09-26 18:07:32+00:00,5 VS 1 King of The Course Golf Challenge | Good Good,1546,671466,16681,934
2020-11-27 02:04:28+00:00,Good Good Sets Mini Golf Course Record?!?,884,625298,10280,322
2021-11-23 17:35:24+00:00,Our Craziest Finish Yet... | 1v1 Bracket Elimination Golf Challenge #9 | Good Good,1422,453119,18706,947
2021-03-14 16:31:13+00:00,Good Good Enters 4 Man Scramble Tournament Again! - Part 3/3,949,531104,17404,610
2021-08-01 17:32:38+00:00,Our First 6 Man Scramble in Months! | Good Good Golf,1310,488571,12471,809
2021-10-29 01:55:25+00:00,SQUID GAME meets Golf | Good Good,1339,748567,31291,2172
2021-02-17 02:44:50+00:00,Drivable Par 4 Closest to The Pin Knockout Challenge,851,295587,16429,903
2022-02-04 01:39:45+00:00,We Swapped Golf Clubs & Played A Bracket Challenge | Good Good,1358,689086,21467,1370
2020-10-22 01:35:23+00:00,Good Good Plays A 6 Man Scramble!,1198,409713,16190,507
2022-02-18 04:25:17+00:00,Can Team Stumps Continue Dominating? 3v3 18 Hole Scramble | Part 1,1947,618084,22132,1161
2021-08-27 03:08:21+00:00,Crazy 10 Hole 2v2v2 Golf Scramble!! - PART 1 - Good Good,1624,552542,19174,995
2021-03-31 02:47:51+00:00,Epic 3v1 Scramble Against PGA Tour Winner Joel Dahmen,1382,427575,10492,694
2022-01-12 05:11:08+00:00,3v3 18 Hole Scramble | The OceanFront Golf Match | Part 3,1604,534176,16052,850
2021-11-05 01:15:39+00:00,"3v3 18 Hole Scramble | THE $5,000 MATCH | Part 2",1462,750996,15462,968
2022-01-10 02:52:52+00:00,3v3 18 Hole Scramble | The OceanFront Golf Match | Part 2,1821,611575,16353,760
2020-10-11 17:40:27+00:00,INSANE Par 3 Knockout Golf Challenge | Good Good,1442,590723,14986,617
2021-03-19 02:41:58+00:00,Epic 2v2v2 Mini Golf Alternate Shot | Good Good,825,168373,5762,366
2021-05-27 23:30:02+00:00,"2v3 Scramble | Garrett & Grant VS Bubbie, Tig & Stephen",1188,360222,11100,658
2022-02-25 04:14:44+00:00,Who Takes The Win?! | 3v3 18 Hole Battle Of Destiny | Part 3,1660,495813,19848,1206
2021-08-22 17:19:52+00:00,World's First 7 Man Alt Shot | Good Good Golf,1243,385531,14593,892
2021-07-28 01:45:01+00:00,2v2v2 Alternate Shot Golf Challenge | A Good Good First!,1707,614795,25842,816
2021-08-08 19:32:34+00:00,INSANE 3v3 14 Club Golf Challenge | Good Good,952,371581,11618,608
2021-06-24 19:14:11+00:00,1v1 Bracket Elimination Golf Challenge | Good Good,1571,589403,19307,1378
2021-09-05 17:00:36+00:00,1v1 Bracket Elimination Golf Challenge #5 | Good Good,1702,515251,29210,854
2021-08-18 04:20:09+00:00,The FINAL Knockout Golf Challenge Of Good Good Week Kansas!,1723,538144,13433,768
2021-01-17 21:03:37+00:00,Intense 3v3 Golf Battle | Good Good,1701,402332,7169,576
2021-09-01 03:15:51+00:00,3v3 Random Golf Club Challenge | The Wheel of NOT Ideal,1102,696676,17654,752
2021-08-25 03:06:23+00:00,2v2v2 Golf Challenge | Using ONLY the 4 Iron | Good Good,1546,741075,18335,999
2021-05-16 18:37:42+00:00,2v3 Scramble | Garrett & Matt Vs. Tig Steve & Bubbie,1434,337120,7982,447
2021-09-24 00:57:29+00:00,The Most Intense KnockOut Golf Challenge Yet!  | Good Good,1395,516217,30276,2431
2020-10-09 01:02:50+00:00,Good Good | INTENSE 2V2 Guacamole Cooking BATTLE!,920,107612,8209,495
2020-09-24 22:45:07+00:00,EPIC Knockout Golf Challenge | Good Good,1149,458595,18080,844
2021-10-27 02:04:05+00:00,GOLF But 1 Person is An Infected Zombie...,1919,625064,17879,2248
2020-12-11 14:00:07+00:00,Good Good 14 Club Challenge!,928,395660,11150,522
2022-01-30 18:45:14+00:00,Epic 12 Hole 2v2v2 Golf Scramble | Part 1 | Good Good,2043,596857,13885,918
2020-12-13 19:00:54+00:00,Good Good Plays America's Greatest Golf Holes | 6 Man Scramble | PART 1,1663,460440,15337,800
2021-12-10 04:00:23+00:00,The Play-off | Team Twigs Vs. Team Stumps Tournament Tie-breaker | Good Good,1034,371079,12595,606
2021-07-23 00:00:39+00:00,Intense Kansas City Knockout Golf Challenge | Good Good,1849,716671,13829,884
2021-07-16 02:54:16+00:00,3v3 Sabotage Golf Challenge | The Wheel Of Not Ideal,1283,779821,16335,669
2021-05-07 00:32:12+00:00,Good Good Plays a 4 Man Scramble at The Greatest Holes in America,1037,273227,8372,505
2020-11-06 03:33:03+00:00,"Fastest Person to Finish Golf Hole Wins $1,000 | Good Good",708,619282,14468,489
2022-03-02 03:35:20+00:00,Back To The OG Match-Ups | 1v1 Bracket Elimination Challenge,1346,405507,13738,735
